state,positive,negative,hospitalized,death,date
AK,56886,0,1293,305,21-03-07
AK,56886,0,1293,305,21-03-06
AK,56886,0,1293,305,21-03-05
AK,56745,0,1290,303,21-03-04
AK,56605,0,1285,303,21-03-03
AK,56428,0,1286,302,21-03-02
AK,56339,0,1279,300,21-03-01
AK,55989,0,1277,290,21-02-28
AK,55989,0,1277,290,21-02-27
AK,55989,0,1277,290,21-02-26
AK,55886,0,1271,290,21-02-25
AK,55736,0,1260,290,21-02-24
AK,55560,0,1260,290,21-02-23
AK,55507,0,1251,290,21-02-22
AK,55198,0,1243,289,21-02-21
AK,55198,0,1243,289,21-02-20
AK,55198,0,1243,289,21-02-19
AK,55009,0,1243,288,21-02-18
AK,54799,0,1238,288,21-02-17
AK,54736,0,1233,287,21-02-16
AK,54282,0,1230,282,21-02-15
AK,54282,0,1230,282,21-02-14
AK,54282,0,1230,282,21-02-13
AK,54282,0,1230,282,21-02-12
AK,54134,0,1227,280,21-02-11
AK,53991,0,1224,280,21-02-10
AK,53809,0,1223,280,21-02-09
AK,53694,0,1219,279,21-02-08
AK,53279,0,1219,279,21-02-07
AK,53279,0,1219,279,21-02-06
AK,53279,0,1219,279,21-02-05
AK,53114,0,1214,279,21-02-04
AK,52956,0,1213,279,21-02-03
AK,52775,0,1209,279,21-02-02
AK,52668,0,1205,262,21-02-01
AK,52598,0,1205,262,21-01-31
AK,52470,0,1205,262,21-01-30
AK,52335,0,1202,262,21-01-29
AK,52150,0,1201,262,21-01-28
AK,51951,0,1200,261,21-01-27
AK,51778,0,1194,260,21-01-26
AK,51693,0,1185,259,21-01-25
AK,51610,0,1185,259,21-01-24
AK,51445,0,1184,259,21-01-23
AK,51204,0,1184,254,21-01-22
AK,50941,0,1177,254,21-01-21
AK,50732,0,1170,253,21-01-20
AK,50572,0,1162,230,21-01-19
AK,50447,0,1153,229,21-01-18
AK,50296,0,1153,229,21-01-17
AK,50017,0,1152,229,21-01-16
AK,49835,0,1152,229,21-01-15
AK,49535,0,1149,228,21-01-14
AK,49203,0,1138,226,21-01-13
AK,48797,0,1104,224,21-01-12
AK,48797,0,1104,224,21-01-11
AK,48624,0,1101,224,21-01-10
AK,48374,0,1100,224,21-01-09
AK,48063,0,1095,223,21-01-08
AK,47660,0,1084,223,21-01-07
AK,47334,0,1074,220,21-01-06
AK,47006,0,1056,218,21-01-05
AK,46812,0,1033,218,21-01-04
AK,46552,0,1033,215,21-01-03
AK,46262,0,1030,215,21-01-02
AK,45461,0,1023,206,21-01-01
AK,45461,0,1023,206,20-12-31
AK,44966,0,1017,203,20-12-30
AK,44581,0,1004,201,20-12-29
AK,44406,0,994,200,20-12-28
AK,44280,0,992,200,20-12-27
AK,43990,0,991,200,20-12-26
AK,43629,0,983,199,20-12-25
AK,43629,0,983,199,20-12-24
AK,43361,0,961,197,20-12-23
AK,43001,0,948,194,20-12-22
AK,42563,0,937,184,20-12-21
AK,42413,0,935,184,20-12-20
